"header","title","titleUrl","time","products","activityControls","description","details","subtitles"
"YouTube","Searched for Mighty Oregon","https://www.youtube.com/results?search_query\u003dMighty+Oregon","2023-06-05T05:42:23.823Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Ride \u0027Em Cowboys","https://www.youtube.com/results?search_query\u003dRide+%27Em+Cowboys","2023-06-05T05:41:38.206Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Boomer Sooner","https://www.youtube.com/results?search_query\u003dBoomer+Sooner","2023-06-05T05:40:38.016Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Buckeye Battle Cry","https://www.youtube.com/results?search_query\u003dBuckeye+Battle+Cry","2023-06-05T05:37:48.199Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Victory March","https://www.youtube.com/results?search_query\u003dVictory+March","2023-06-05T05:37:00.644Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Go! U Northwestern","https://www.youtube.com/results?search_query\u003dGo!+U+Northwestern","2023-06-05T05:35:49.011Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for cupid","https://www.youtube.com/results?search_query\u003dcupid","2023-06-05T04:30:18.343Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for 化猫 モノノ怪","https://www.youtube.com/results?search_query\u003d%E5%8C%96%E7%8C%AB+%E3%83%A2%E3%83%8E%E3%83%8E%E6%80%AA","2023-06-05T02:52:51.974Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for 化 猫","https://www.youtube.com/results?search_query\u003d%E5%8C%96+%E7%8C%AB","2023-06-05T02:52:46.598Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for hachiko soundtrack","https://www.youtube.com/results?search_query\u003dhachiko+soundtrack","2023-06-05T02:52:36.151Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for hong ma","https://www.youtube.com/results?search_query\u003dhong+ma","2023-06-05T00:21:31.326Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for 仙剑奇侠传","https://www.youtube.com/results?search_query\u003d%E4%BB%99%E5%89%91%E5%A5%87%E4%BE%A0%E4%BC%A0","2023-06-04T23:51:27.082Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for body","https://www.youtube.com/results?search_query\u003dbody","2023-06-04T23:01:32.376Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for 游山恋","https://www.youtube.com/results?search_query\u003d%E6%B8%B8%E5%B1%B1%E6%81%8B","2023-06-04T22:26:48.064Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for asian ai filtered girl sitting on the floor","https://www.youtube.com/results?search_query\u003dasian+ai+filtered+girl+sitting+on+the+floor","2023-06-02T06:24:48.802Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for asian AI filtered girl dancing in the garage","https://www.youtube.com/results?search_query\u003dasian+AI+filtered+girl+dancing+in+the+garage","2023-06-02T06:23:32.993Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for asian AI filtered girl dancing","https://www.youtube.com/results?search_query\u003dasian+AI+filtered+girl+dancing","2023-06-02T06:23:27.076Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for asian AI fixed girl dancing","https://www.youtube.com/results?search_query\u003dasian+AI+fixed+girl+dancing","2023-06-02T06:23:08.240Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for asian AI fixed girl","https://www.youtube.com/results?search_query\u003dasian+AI+fixed+girl","2023-06-02T06:22:56.811Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for hachiko soundtrack","https://www.youtube.com/results?search_query\u003dhachiko+soundtrack","2023-06-02T04:05:38.714Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for promises instrumental","https://www.youtube.com/results?search_query\u003dpromises+instrumental","2023-06-02T03:35:25.001Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube Music","Searched for promises","https://www.youtube.com/results?search_query\u003dpromises","2023-06-02T03:35:12.909Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for cute asian girls ai","https://www.youtube.com/results?search_query\u003dcute+asian+girls+ai","2023-06-02T03:34:03.704Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for cupid","https://www.youtube.com/results?search_query\u003dcupid","2023-06-02T03:27:33.241Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
